uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"ed7f10ac-b27f-4eff-8e8f-8581a52fbbe2",4128,"Network activity","ip-src","68.183.36.244","",0,1639437998,"source.ip","","7f4c0b5b-5be4-4efa-9c39-d0a84ea4a48d","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"494c7cf3-062f-48e2-b6ab-543e16347260",4128,"Network activity","ip-src","167.71.13.196","",0,1639437998,"source.ip","","c718d95e-15a9-4725-85df-6f1057e58600","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"f10a1f7d-49ce-4991-88d1-1d3dfa47511f",4128,"Network activity","ip-src","45.155.205.233","",0,1639437999,"source.ip","","469d550d-32fe-4706-b323-be57ba9c0a11","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"e4d13645-225c-4130-85a2-715504c2117a",4128,"Network activity","ip-src","54.146.233.218","",0,1639437999,"source.ip","","f06a992b-3c10-4d44-9bcd-6701b7cc01e6","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"7c63777d-7b4f-406f-adb4-3823d13ae174",4128,"Network activity","ip-src","31.42.184.34","",0,1639437999,"source.ip","","84d21180-8473-4448-8f19-4366e54359a5","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"4d31bbb7-ac01-4d72-a744-84d0236af756",4128,"Network activity","ip-src","185.220.101.172","",0,1639437999,"source.ip","","364bfdca-50a8-4215-a908-3961ebb74f7a","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"a11464ee-a4f7-428e-93b2-4430502e352c",4128,"Network activity","ip-src","147.182.216.21","",0,1639437999,"source.ip","","3e5fbf77-f3fb-4ed3-9f3d-277be6914871","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"9ba4d3d7-e7a1-410f-9b0e-40e69f8045c3",4128,"Network activity","ip-src","185.220.101.128","",0,1639437999,"source.ip","","d1356062-8237-475e-9a51-b4888db06238","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"bd49073f-ccc8-4b47-ae9f-2dfad8564c99",4128,"Network activity","ip-src","209.97.133.112","",0,1639437999,"source.ip","","e4b57650-227f-4ec8-bc1f-32cef928e71c","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
"d9dfb719-fbd9-4ca5-a8d0-fc4b9ca1cccd",4128,"Network activity","ip-src","185.220.101.152","",0,1639438000,"source.ip","","1a5c4ef3-a50e-4589-8ef3-0a2ab955b52e","intelmq_event","network","Log4j CrowdSec IOC Feed","Log4j-CI","Log4j-CI",1,"High",0,"2021-12-13","collection:ioc-source=""github"",tlp:white,false-positive:risk=""medium"",osint:source-type=""automatic-collection""",1641150859
